Designator,Mid X,Mid Y,Rotation,Layer
C1,186.24,-84.7025,0.0,bottom
C10,171.4,-91.8,0.0,bottom
C11,165.29625,-92.6735,270.0,bottom
C12,159.815,-87.05125,180.0,bottom
C13,165.50375,-81.9525,90.0,bottom
C14,168.26,-81.9525,90.0,bottom
C15,169.26,-81.9325,90.0,bottom
C16,166.24375,-74.9325,270.0,bottom
C17,169.12475,-78.0135,180.0,bottom
C18,274.47375,-68.5725,270.0,bottom
C19,274.55375,-57.9425,90.0,bottom
C2,158.04375,-88.5225,90.0,bottom
C3,158.04375,-86.6525,270.0,bottom
C4,171.86,-85.7025,0.0,bottom
C5,159.815,-86.05125,180.0,bottom
C6,172.53375,-88.8725,0.0,bottom
C7,171.86,-84.7525,0.0,bottom
C8,165.22375,-74.9295,90.0,bottom
C9,172.36375,-87.2925,0.0,bottom
D1,36.985,-67.15125,90.0,bottom
D10,213.1975,-67.15125,90.0,bottom
D11,232.2475,-67.15125,90.0,bottom
D12,251.2975,-67.15125,90.0,bottom
D13,256.61375,-67.15125,90.0,bottom
D14,36.985,-72.17125,270.0,bottom
D15,60.7975,-72.17125,270.0,bottom
D16,79.8475,-71.91375,270.0,bottom
D17,98.9483,-72.48525,270.0,bottom
D18,117.8967,-72.17125,270.0,bottom
D19,136.9975,-72.17125,270.0,bottom
D2,60.7975,-67.15125,90.0,bottom
D20,156.0475,-72.17125,270.0,bottom
D21,175.2499,-72.17125,270.0,bottom
D22,206.05375,-72.17125,270.0,bottom
D23,213.1975,-72.17125,270.0,bottom
D24,232.2475,-72.17125,270.0,bottom
D25,251.2975,-72.17125,270.0,bottom
D26,44.12875,-105.25125,90.0,bottom
D27,75.085,-105.25125,90.0,bottom
D28,94.135,-105.25125,90.0,bottom
D29,113.185,-105.25125,90.0,bottom
D3,79.8475,-67.15125,90.0,bottom
D30,132.235,-105.25125,90.0,bottom
D31,151.285,-105.25125,90.0,bottom
D32,170.335,-105.25125,90.0,bottom
D33,189.385,-105.25125,90.0,bottom
D34,208.435,-105.25125,90.0,bottom
D35,227.485,-105.25125,90.0,bottom
D36,246.535,-105.25125,90.0,bottom
D37,267.96625,-105.25125,90.0,bottom
D38,44.12875,-110.33125,270.0,bottom
D39,61.52775,-110.33125,270.0,bottom
D4,98.8975,-67.15125,90.0,bottom
